Loan Status,Current Loan Amount,Credit Score,Years in current job,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,DTI Ratio,dti_ratio,Term_Long Term,Term_Short Term,Home Ownership_Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Purpose_BusinessLoan,Purpose_CarPurchase,Purpose_DebtConsolidation,Purpose_EducationalExpenses,Purpose_HomeImprovements,Purpose_HomePurchase,Purpose_MajorPurchase,Purpose_MedicalBills,Purpose_Moving,Purpose_Other,Purpose_RenewableEnergyPurchase,Purpose_Vacation,Purpose_Wedding
0,0,738.0,5.0,2.64,82.25,10,0,12938,31945,0.0,0,16.2,16.19346501753738,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,744.0,1.0,2.19,32.33,23,0,11295,16834,0.0,0,14.4,14.399520814615155,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,739.0,10.0,2.56,61.4,12,1,3843,14896,1.0,0,31.1,31.110660310376304,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,744.0,7.0,2.77,13.7,12,0,19882,30447,0.0,0,11.6,11.59683661450446,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,746.0,10.0,3.49,-13.15,11,0,40100,49876,0.0,0,10.9,10.901084219269833,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,686.0,7.0,2.79,53.0,15,0,11422,22265,0.0,0,18.7,18.70226472736933,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,687.0,2.0,2.9,63.0,14,0,10664,12487,0.0,0,20.32,20.332616906287168,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,732.0,1.0,2.36,30.0,11,0,5920,9884,0.0,0,17.3,17.31140633229941,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,721.0,10.0,3.06,19.0,5,0,220,796,0.0,0,19.2,19.19517102615694,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,734.0,10.0,3.52,15.0,16,0,28493,34579,0.0,0,10.8,10.803471728758502,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,9148,737.0,3.0,2.38,29.03,10,0,32562,41376,0.0,0,23.4,23.400236127508855,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,654.0,10.0,2.86,30.0,7,0,18344,20115,0.0,0,15.0,15.00357101919533,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
