accel,color,cyl,displ,hp,marker,mpg,name,origin,size,weight,yr
14.5,red,6,250.0,88,o,18.0,ford mustang,US,27.37033611111111,3139,71
18.5,green,8,304.0,193,o,9.0,hi 1200d,US,62.199511111111114,4732,70
16.4,blue,4,91.0,60,x,36.1,honda civic cvcc,Asia,9.0,1800,78
19.0,red,6,250.0,98,o,18.5,ford granada,US,34.515625,3525,77
15.8,blue,4,97.0,78,s,34.3,audi 4000,Europe,13.298177777777774,2188,80
14.8,blue,4,119.0,100,x,32.9,datsun 200sx,Asia,18.99506944444445,2615,81
15.2,blue,4,108.0,75,x,32.2,toyota corolla,Asia,14.250625,2265,80
18.0,blue,4,121.0,76,s,22.0,volkswagen 411 (sw),Europe,17.514224999999996,2511,72
14.9,green,8,302.0,130,o,15.0,mercury cougar brougham,US,51.24173611111111,4295,77
10.5,green,8,302.0,140,o,17.0,ford torino,US,33.04333611111111,3449,70
24.6,blue,4,97.0,52,s,44.0,vw pickup,Europe,12.6025,2130,82
16.0,blue,4,151.0,88,o,24.5,pontiac sunbird coupe,US,20.854444444444443,2740,77
11.6,blue,4,135.0,84,o,32.0,dodge rampage,US,14.630625000000002,2295,82
13.5,green,8,351.0,148,o,14.0,ford ltd,US,60.243469444444436,4657,75
9.5,green,8,400.0,150,o,15.0,chevrolet monte carlo,US,39.29200277777778,3761,70
14.0,green,8,307.0,130,o,13.0,chevrolet chevelle concours (sw),US,46.6489,4098,72
18.6,blue,4,79.0,58,s,36.0,renault 5 gtl,Europe,9.251736111111109,1825,77
19.4,blue,4,119.0,82,o,31.0,chevy s-10,US,20.55111111111111,2720,82
21.0,blue,4,71.0,65,x,32.0,toyota corolla 1200,Asia,9.3636,1836,74
13.5,black,3,80.0,110,x,21.5,mazda rx-4,Asia,20.55111111111111,2720,77
16.0,red,6,225.0,95,o,19.0,plymouth valiant custom,US,29.59360000000001,3264,75
21.0,red,6,231.0,110,o,17.0,buick century,US,42.40180277777778,3907,75
14.0,green,8,302.0,140,o,16.0,ford gran torino,US,47.633002777777776,4141,74
10.0,green,8,383.0,170,o,15.0,dodge challenger se,US,35.263802777777784,3563,70
18.5,blue,4,140.0,78,o,23.0,pontiac astro,US,18.6624,2592,75
